content,labels,0,1,2,3,4
evaluation tcm technegas ventilation scintigraphy diagnosis pulmonary embolism diagnosis pulmonary embolism perfusion lung scintigraphy offers high sensitivity low specificity specificity significantly increased use combined ventilation perfusion studies aspects perfusion lung scintigraphy uniformly accepted technique ventilation imaging varies centre centre study describes new technique performance ventilation scintigraphy using suspension ultrafine carbon particles labelled tcm technegas technique combines ready availability tcm optimal imaging properties easily administered radiopharmaceutical particle size sufficiently small deposit alveoli patients studied conventional perfusion scintigraphy plus technegas ventilation scintigraphy images diagnostic quality obtained patients also ventilation study using krm gas one instance two methods ventilation imaging lead differing interpretations conclude high quality diagnostic images may obtained using new technique made available routine emergency basis thus improving service provided patients suspected pulmonary embolism,C08,0.00019386479,0.00039369165,0.00018520471,0.00039043912,0.9988368
cardiorespiratory effects pressure controlled ventilation severe respiratory failure cardiorespiratory values measured ten patients severe respiratory failure volume controlled pressure controlled ventilation tidal volume respirator rate peep auto peep inspiratory expiratory ratio fio maintained value ventilatory modalities changing vcv pcv associated significant improvements pao oxygen delivery tissue oxygen consumption peak inspiratory pressure fell significant changes cardiorespiratory values arterial blood pressure ventilatory measurements mean airway pressure associated use pcv results suggest pcv may beneficial ventilatory modality treatment severe respiratory failure since results improvement arterial oxygenation tissue oxygen delivery utilization without concomitant adverse effects hemodynamic ventilatory factors,C08,0.0002628046,0.0005336915,0.9982473,0.0005292823,0.00042687592
gastrointestinal disease oral contraception oral contraceptive steroids play major role modern family planning present tendency decrease doses estrogens progestogens factor reduces bioavailability lower dose preparations may impact contraceptive protection although ethinyl estradiol commonly used oral estrogen liable enterohepatic circulation unchanged drug commonly used progestogens present convincing evidence exists human subject disruption enterohepatic circulation antibiotics antacids reduce contraceptive efficacy pill oral contraceptive steroids mainly absorbed small bowel contraceptive efficacy depends absorptive capacity enhanced passage gastrointestinal contents impaired absorption may thus contribute contraceptive failures patients chronic inflammatory disease diarrhea ileostomy jejunoileal bypass,C06,0.00026585424,0.99851286,0.00025397836,0.00053542416,0.00043182945
fat saturation mr imaging upper abdomen fat saturation fatsat mr technique decreases signal intensity fat thereby enhancing definition upper abdominal organs reducing artifacts maintaining information available spin echo sequences evaluate potential fatsat examining abdomen conducted prospective study involving subjects including four normal volunteers patients investigated liver disease eight patients studied miscellaneous abdominal disease short tr tr te long tr spin echo images without fatsat compared images evaluated qualitatively quantitatively qualitative assessment made receiver operating characteristic roc curve analysis confidence level observers detect presence disease comparing fatsat standard spin echo sequences roc analysis showed greater interpreter confidence accuracy fatsat sequences standard spin echo sequences measured signal difference noise sd n ratio comparing upper abdominal organs surrounding tissue revealed highest values short tr te regular spin echo followed short tr te fatsat highest sd n ratio hepatic masses long tr te fatsat followed short tr te fatsat results study suggest fatsat technique may improve abdominal mr imaging,C06,0.00016580398,0.9990726,0.00015839741,0.0003339253,0.00026931692
isolation physicochemical characterization preclinical efficacy evaluation soluble scleroglucan herein describe isolation physicochemical characterization preclinical evaluation water soluble biologic response modifier extracted sclerotium glucanicum alkaline extraction insoluble glucanicum exopolymers produced soluble scleroglucan composed triple helical beta linked glucopyranose backbone single beta linked glucopyranosyl branches every third subunit scleroglucan weight average molecular mass x da weight average root mean square distance center gravity molecule farthest elements nm polydispersity weight average molecular mass number average molecular mass intrinsic viscosity dl g scleroglucan mg kg intravenously stimulated vivo murine macrophage phagocytic activity p less increased vitro macrophage tumor cytotoxicity syngeneic tumor targets p less scleroglucan enhanced p less murine bone marrow proliferation biphasic manner scleroglucan therapy increased survival mice challenged syngeneic lymphoma melanoma adenocarcinoma akr j mice bearing syngeneic lymphoma x cells intraperitoneally demonstrated increased p less long term survival vs greater days c bl j mice bearing syngeneic melanoma b x cells subcutaneously demonstrated increased long term survival vs p less c bl j mice bearing syngeneic adenocarcinoma bw x cells subcutaneously demonstrated increased p less median survival time addition scleroglucan prophylaxis increased resistance mice challenge staphylococcus aureus candida albicans mouse hepatitis virus scleroglucan induce toxicity hepatomegaly conclude branched water soluble beta linked scleroglucan biologic response modifier extracted glucanicum scleroglucan stimulate immunity modify experimental neoplastic disease increase resistance microbial challenge scleroglucan shows promise immunopotentiating drug,C01,0.000119837656,0.00024336079,0.00011448443,0.9993276,0.0001946534
new method evaluate capd catheter exit percutaneous devices method proved sensitive approach early diagnosis infection oral mucosa around dental implants used monitor exit sites percutaneous devices three months state skin catheter interface capd patients examined every four weeks examination included measurement pocket depth aid periodontal probe measurement sffr sulcus fluid flow rate using standardized filter paper strips bacteriological swab exit site results obtained demonstrated sffr measured around percutaneous implants measurement sffr appeared useful monitoring exit sites percutaneous devices measurement pocket depth use bacteriological swabs studies prolonged periods necessary determine whether measurement sffr reliably predict onset exit site infection clinical signs become evident,C01,0.00024071423,0.99865353,0.00022996137,0.0004847928,0.0003909943
dentist dilemma nonsurgical endodontic therapy periapical surgery teeth apparent pulpal pathosis associated periapical radiolucent lesion first presented brief review nonsurgical versus surgical treatment radicular cysts followed consideration use radiographs differential diagnosis periapical radiolucent lesions nonendodontic local systemic lesions occur periapically presented next examined fallibilities pulp vitality testing methods need histopathologic examination periapical lesions subject next discussion dentist dilemma examined teeth apparent pulpal pathosis associated periapical radiolucent lesion routine surgical treatment including biopsy treated nonsurgically periodic follow ups possible resolution dilemma final consideration,C07,0.0002930606,0.000595134,0.0002799694,0.9983558,0.00047602103
osteomyelitis mandible result sickle cell disease report literature review five cases osteomyelitis mandible result sickle disease published report another case uniquely affected osseous portion mandible including condyle also adjacent musculature radical resection involved hard soft tissue necessary cure patient two possible etiologies discussed first states sickle cell crisis caused tissue anoxia tissue became secondarily infected second states preexisting infection triggered augmented sickling phenomena,C07,0.99747795,0.00077315577,0.00036371636,0.00076676824,0.00061841274
anterior inferior cerebellar artery internal auditory canal proposed compression auditory vestibular nerve trunks vascular loops might cause otherwise unexplained hearing loss tinnitus vertigo well meniere disease studied human temporal bone histological collection massachusetts eye ear infirmary determine whether audiovestibular symptoms could correlated presence anterior inferior cerebellar artery within internal auditory canal anterior inferior cerebellar artery loops found within internal auditory canals temporal bones half number found preparations intact brains studied difference attributed avulsion anterior inferior cerebellar artery removal brain autopsy cases unexplained unilateral hearing loss anterior inferior cerebellar artery loops opposite ear ears cases unilateral unexplained tinnitus anterior inferior cerebellar artery loops involved ear opposite ear case bilateral tinnitus anterior inferior cerebellar artery loop ear cases vertigo peripheral histopathological correlate central nervous system disorder anterior inferior cerebellar artery loops found internal auditory canals ears group significantly different incidence recorded entire collection cases unilateral meniere disease anterior inferior cerebellar artery loops hydropic ears opposite ear ears find correlation unexplained hearing loss tinnitus vertigo meniere disease presence anterior inferior cerebellar artery internal auditory canal,C09,0.00013704174,0.00027829804,0.00013092,0.00027599884,0.9991777
scanning electron microscopic study nasopharyngeal carcinoma study carried biopsies taken four patients affected squamous cell carcinoma four patients affected undifferentiated carcinoma nasopharyngeal type ucnt three healthy volunteers served controls specimens studied sem neoplastic conditions cause obvious alterations mucosal surface morphology cellular apex,C09,0.0006001335,0.0012187235,0.00057332515,0.99663305,0.00097480236
